"EasyAudit Report by Crealoz","EasyAudit Report by Crealoz"
"See annexe %1 for more details.","See annexe %1 for more details."
Modules:,Modules:
"-%1(ratio : %2)","-%1(ratio : %2)"
"- %1 (potential issues count : %2)","- %1 (potential issues count : %2)"
"Easy Audit","Easy Audit"
"General Information","General Information"
"Audit Scope","Audit Scope"
Languages,Languages
"Request new audit","Request new audit"
"Request ID","Request ID"
"Customer ID","Customer ID"
"Request time","Request time"
"Execution time","Execution time"
Filename,Filename
"Entries cannot be viewed without a result ID.","Entries cannot be viewed without a result ID."
"Could not save the Entry: %1","Could not save the Entry: %1"
"Entry with id ""%1"" does not exist.","Entry with id ""%1"" does not exist."
"Could not delete the Entry: %1","Could not delete the Entry: %1"
"Could not save the Result: %1","Could not save the Result: %1"
"Result with id ""%1"" does not exist.","Result with id ""%1"" does not exist."
"Could not delete the Result: %1","Could not delete the Result: %1"
"Could not save the Severity: %1","Could not save the Severity: %1"
"Severity with id ""%1"" does not exist.","Severity with id ""%1"" does not exist."
"Could not delete the Severity: %1","Could not delete the Severity: %1"
"Severity with level ""%1"" does not exist.","Severity with level ""%1"" does not exist."
"Could not save the Type: %1","Could not save the Type: %1"
"Type with id ""%1"" does not exist.","Type with id ""%1"" does not exist."
"Could not delete the Type: %1","Could not delete the Type: %1"
"Type with name ""%1"" does not exist.","Type with name ""%1"" does not exist."
"Check flat catalog for stores","Check flat catalog for stores"
Database,Database
"Flat catalog is enabled for some stores","Flat catalog is enabled for some stores"
"Flat catalog should be disabled for the recent versions of Magento 2.1 and above. It is recommended to disable flat catalog for all stores.","Flat catalog should be disabled for the recent versions of Magento 2.1 and above. It is recommended to disable flat catalog for all stores."
"Heavy DB Tables","Heavy DB Tables"
"The following tables are known to be heavy and can slow down your database. Consider optimizing them.","The following tables are known to be heavy and can slow down your database. Consider optimizing them."
"Data crunch in phtml files","Data crunch in phtml files"
"Some data may be retrieved using blocks instead of ViewModels in these files. Reviewing this approach and considering ViewModels could be beneficial, as they provide a more structured way to handle data logic, improving separation of concerns between presentation and business logic.","Some data may be retrieved using blocks instead of ViewModels in these files. Reviewing this approach and considering ViewModels could be beneficial, as they provide a more structured way to handle data logic, improving separation of concerns between presentation and business logic."
"Direct block data crunch","Direct block data crunch"
"Using blocks to retrieve data or configuration is generally discouraged, as ViewModels allow for a clearer separation of logic and presentation. Opting for ViewModels is recommended for a more structured approach.","Using blocks to retrieve data or configuration is generally discouraged, as ViewModels allow for a clearer separation of logic and presentation. Opting for ViewModels is recommended for a more structured approach."
"Use of $this instead of $block","Use of $this instead of $block"
"Using $this in a block class is not recommended, as it may not be compatible with templating systems beyond Magento’s default. Instead, using $block ensures broader compatibility and supports a more adaptable templating structure.","Using $this in a block class is not recommended, as it may not be compatible with templating systems beyond Magento’s default. Instead, using $block ensures broader compatibility and supports a more adaptable templating structure."
Helpers,Helpers
PHP,PHP
"Extension of Abstract Helper","Extension of Abstract Helper"
"Helper class must not extend Magento\Framework\App\Helper\AbstractHelper","Helper class must not extend Magento\Framework\App\Helper\AbstractHelper"
"Helpers Instead of View Models","Helpers Instead of View Models"
"Helpers should not be used as View Models","Helpers should not be used as View Models"
"Could not read file","Could not read file"
"Could not parse correctly content","Could not parse correctly content"
"Looking for the class name %1","Looking for the class name %1"
"Check the use of the PaymentInterface","Check the use of the PaymentInterface"
"PHP Code Sniffer Errors","PHP Code Sniffer Errors"
"The PHP Code Sniffer has detected some errors in the code.","The PHP Code Sniffer has detected some errors in the code."
"PHP Code Sniffer Warnings","PHP Code Sniffer Warnings"
"The PHP Code Sniffer has detected some warnings in the code.","The PHP Code Sniffer has detected some warnings in the code."
"Check PHP Code Sniffer","Check PHP Code Sniffer"
"Use of ObjectManager","Use of ObjectManager"
"The ObjectManager should not be used directly. Use dependency injection instead.","The ObjectManager should not be used directly. Use dependency injection instead."
"Useless Import","Useless Import"
"The ObjectManager was imported but does not seem to be used. Please remove the import.","The ObjectManager was imported but does not seem to be used. Please remove the import."
Commands,Commands
"Dependency Injection (DI)","Dependency Injection (DI)"
"No Proxy used for the command","No Proxy used for the command"
"Injections in commands must be done through a proxy. All injections are made every time a command is launched. This can lead to performance issues for command running, including crons. Proxies help to avoid this issue by injecting an instance of a pseudo-class.","Injections in commands must be done through a proxy. All injections are made every time a command is launched. This can lead to performance issues for command running, including crons. Proxies help to avoid this issue by injecting an instance of a pseudo-class."
Preferences,Preferences
"Multiple Preferences","Multiple Preferences"
"Multiple preferences found for the same file. This can lead to unexpected behavior. Please remove the duplicate preferences or check that sequence is done correctly in module declaration.","Multiple preferences found for the same file. This can lead to unexpected behavior. Please remove the duplicate preferences or check that sequence is done correctly in module declaration."
"Proxy for heavy classes","Proxy for heavy classes"
"No Proxy used for heavy classes","No Proxy used for heavy classes"
"Some classes such as Session are heavy and should be injected through a proxy. This is to avoid performance issues when the class is instantiated. Doing so will improve performances especially when the class is not necessarily used.","Some classes such as Session are heavy and should be injected through a proxy. This is to avoid performance issues when the class is instantiated. Doing so will improve performances especially when the class is not necessarily used."
Logic,Logic
"Disabled Modules","Disabled Modules"
"Could not check 'enabled' status of modules","Could not check 'enabled' status of modules"
"The status of the following modules could not be retrieved. A manual check can be necessary.","The status of the following modules could not be retrieved. A manual check can be necessary."
"Active modules not enabled","Active modules not enabled"
"The following modules are active but not enabled. Consider deactivating them or removing them from the codebase.","The following modules are active but not enabled. Consider deactivating them or removing them from the codebase."
Files,Files
"-%1 (%2 occurrences)","-%1 (%2 occurrences)"
"Flat catalog enabled for Products:","Flat catalog enabled for Products:"
"Flat catalog enabled for Categories:","Flat catalog enabled for Categories:"
Tables:,Tables:
size,size
Files:,Files:
"- %1 (usages: %2)","- %1 (usages: %2)"
"%1 modules configuration cannot be retrieved","%1 modules configuration cannot be retrieved"
usages,usages
"Crealoz EasyAuditPremium View","Crealoz EasyAuditPremium View"
"Crealoz EasyAuditPremium Manage","Crealoz EasyAuditPremium Manage"

